2026-07-07 20:00:24,271 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:00:24,688 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 20:00:24,688 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 20:00:37,487 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 20:00:37,487 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:00:43,449 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:00:43,563 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:00:43,907 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 20:00:43,907 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 20:04:10,582 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 20:04:10,582 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:04:17,587 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:04:17,697 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:04:18,047 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 20:04:18,047 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 20:05:53,021 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:05:58,796 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:05:58,916 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:05:58,917 | INFO     | app.vectorstore.chroma_store | Fetching indexed documents.
2026-07-07 20:05:59,020 | INFO     | app.vectorstore.chroma_store | Found 0 document(s).
2026-07-07 20:08:10,663 | INFO     | app.ingestion.pipeline | Initializing Ingestion Pipeline.
2026-07-07 20:08:10,664 | INFO     | app.ingestion.splitter | Initializing DocumentSplitter (chunk_size=1000, chunk_overlap=200)
2026-07-07 20:08:10,664 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:08:20,310 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:08:20,473 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:08:20,473 | INFO     | app.ingestion.pipeline | Starting ingestion pipeline.
2026-07-07 20:08:20,474 | WARNING  | app.vectorstore.chroma_store | Resetting Chroma collection...
2026-07-07 20:08:20,811 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:08:20,811 | INFO     | app.vectorstore.chroma_store | Collection reset successfully.
2026-07-07 20:08:20,812 | INFO     | app.ingestion.pipeline | Starting directory ingestion.
2026-07-07 20:08:20,813 | INFO     | app.ingestion.pipeline | Found 3 PDF file(s).
2026-07-07 20:08:20,814 | INFO     | app.ingestion.loader | Loading PDF: A13 batch.pdf
2026-07-07 20:08:22,780 | INFO     | app.ingestion.loader | Loaded 6 pages successfully.
2026-07-07 20:08:22,781 | INFO     | app.ingestion.pipeline | Processing document: A13 batch.pdf
2026-07-07 20:08:22,781 | INFO     | app.ingestion.splitter | Splitting 6 document(s).
2026-07-07 20:08:22,783 | INFO     | app.ingestion.splitter | Generated 43 chunks.
2026-07-07 20:08:22,783 | INFO     | app.ingestion.pipeline | Generated 43 chunks.
2026-07-07 20:08:22,783 | INFO     | app.ingestion.pipeline | Adding metadata to document chunks.
2026-07-07 20:08:22,784 | INFO     | app.ingestion.pipeline | Metadata added to 43 chunks.
2026-07-07 20:08:22,784 | INFO     | app.vectorstore.chroma_store | Indexing 43 chunks...
2026-07-07 20:08:22,784 | INFO     | app.embedding.embedder | Generating embeddings for 43 chunks.
2026-07-07 20:08:25,644 | INFO     | app.embedding.embedder | Document embeddings generated successfully.
2026-07-07 20:08:25,922 | INFO     | app.vectorstore.chroma_store | Document indexing completed successfully.
2026-07-07 20:08:25,928 | INFO     | app.vectorstore.chroma_store | Current indexed chunks: 43
2026-07-07 20:08:25,929 | INFO     | app.ingestion.pipeline | Stored Chunks: 43
2026-07-07 20:08:25,929 | INFO     | app.ingestion.loader | Loading PDF: MACHINE LEARNING(R17A0534).pdf
2026-07-07 20:08:29,121 | INFO     | app.ingestion.loader | Loaded 120 pages successfully.
2026-07-07 20:08:29,121 | INFO     | app.ingestion.pipeline | Processing document: MACHINE LEARNING(R17A0534).pdf
2026-07-07 20:08:29,121 | INFO     | app.ingestion.splitter | Splitting 120 document(s).
2026-07-07 20:08:29,131 | INFO     | app.ingestion.splitter | Generated 337 chunks.
2026-07-07 20:08:29,131 | INFO     | app.ingestion.pipeline | Generated 337 chunks.
2026-07-07 20:08:29,131 | INFO     | app.ingestion.pipeline | Adding metadata to document chunks.
2026-07-07 20:08:29,133 | INFO     | app.ingestion.pipeline | Metadata added to 337 chunks.
2026-07-07 20:08:29,133 | INFO     | app.vectorstore.chroma_store | Indexing 337 chunks...
2026-07-07 20:08:29,136 | INFO     | app.embedding.embedder | Generating embeddings for 337 chunks.
2026-07-07 20:08:44,791 | INFO     | app.embedding.embedder | Document embeddings generated successfully.
2026-07-07 20:08:45,671 | INFO     | app.vectorstore.chroma_store | Document indexing completed successfully.
2026-07-07 20:08:45,673 | INFO     | app.vectorstore.chroma_store | Current indexed chunks: 380
2026-07-07 20:08:45,673 | INFO     | app.ingestion.pipeline | Stored Chunks: 380
2026-07-07 20:08:45,673 | INFO     | app.ingestion.loader | Loading PDF: Yaswanth_Sai_software_Engineer_Resume.pdf
2026-07-07 20:08:45,787 | INFO     | app.ingestion.loader | Loaded 2 pages successfully.
2026-07-07 20:08:45,787 | INFO     | app.ingestion.pipeline | Processing document: Yaswanth_Sai_software_Engineer_Resume.pdf
2026-07-07 20:08:45,787 | INFO     | app.ingestion.splitter | Splitting 2 document(s).
2026-07-07 20:08:45,788 | INFO     | app.ingestion.splitter | Generated 8 chunks.
2026-07-07 20:08:45,788 | INFO     | app.ingestion.pipeline | Generated 8 chunks.
2026-07-07 20:08:45,788 | INFO     | app.ingestion.pipeline | Adding metadata to document chunks.
2026-07-07 20:08:45,789 | INFO     | app.ingestion.pipeline | Metadata added to 8 chunks.
2026-07-07 20:08:45,789 | INFO     | app.vectorstore.chroma_store | Indexing 8 chunks...
2026-07-07 20:08:45,789 | INFO     | app.embedding.embedder | Generating embeddings for 8 chunks.
2026-07-07 20:08:46,219 | INFO     | app.embedding.embedder | Document embeddings generated successfully.
2026-07-07 20:08:46,321 | INFO     | app.vectorstore.chroma_store | Document indexing completed successfully.
2026-07-07 20:08:46,322 | INFO     | app.vectorstore.chroma_store | Current indexed chunks: 388
2026-07-07 20:08:46,323 | INFO     | app.ingestion.pipeline | Stored Chunks: 388
2026-07-07 20:08:46,323 | INFO     | app.ingestion.pipeline | Ingestion completed successfully.
2026-07-07 20:09:51,187 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:09:57,471 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:09:57,582 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:09:57,583 | INFO     | app.vectorstore.chroma_store | Fetching indexed documents.
2026-07-07 20:09:57,670 | INFO     | app.vectorstore.chroma_store | Found 3 document(s).
2026-07-07 20:36:11,672 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 20:36:11,672 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:36:18,899 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:36:19,079 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:36:19,080 | INFO     | app.services.document_service | Document Service initialized.
2026-07-07 20:36:19,416 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 20:36:19,416 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 20:36:30,873 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 20:36:30,873 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:36:36,679 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 20:36:36,794 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 20:36:36,795 | INFO     | app.services.document_service | Document Service initialized.
2026-07-07 20:36:37,123 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 20:36:37,123 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 20:37:11,378 | INFO     | app.vectorstore.chroma_store | Fetching indexed documents.
2026-07-07 20:37:11,492 | INFO     | app.vectorstore.chroma_store | Found 3 document(s).
2026-07-07 20:40:17,032 | INFO     | app.retriever.retriever | Retrieving top 3 documents.
2026-07-07 20:40:17,033 | INFO     | app.vectorstore.chroma_store | Searching for query: what are skill that yaswanth satya naga sai have in his resume
2026-07-07 20:40:17,033 | INFO     | app.embedding.embedder | Generating query embedding.
2026-07-07 20:40:17,106 | INFO     | app.vectorstore.chroma_store | Retrieved 3 document(s).
2026-07-07 20:40:17,107 | INFO     | app.retriever.retriever | Retrieved 3 documents.
2026-07-07 20:40:17,107 | INFO     | app.prompt.builder | Building prompt using 3 document(s).
2026-07-07 20:40:17,108 | INFO     | app.prompt.builder | Prompt built successfully. Length: 3303 characters.
2026-07-07 20:40:17,108 | INFO     | app.llm.ollama_client | Sending prompt to Ollama.
2026-07-07 20:43:36,681 | INFO     | app.llm.ollama_client | LLM response generated in 199.57 sec.
2026-07-07 20:50:50,392 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 20:50:50,393 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 20:50:56,863 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
